state,district,month,C,B_adult,B,D_child,D_adult,D,E0,E5,E18,E,A,e,d,b,c,d_e,d_d,d_b,d_c,d_b_lag1,d_c_lag1,d_b_lag2,d_c_lag2,d_b_lag3,d_c_lag3,month_num,d_b_next,d_b_pred,ASI_future,MBU,RP,MBU_next,RP_next,ASI_current,AERS_current,AERS_future
Andaman & Nicobar Islands,Andamans,2025-06,11,129,140,0.0,0.0,0.0,0.0,0.0,0.0,0.0,209.0,0.0,0.0,0.6698564593301436,0.05263157894736842,0.0,0.0,-0.19138755980861244,-0.05263157894736842,-0.019138755980861233,0.023923444976076555,-0.11961722488038273,0.004784688995215308,0.0,0.0,6,0.3301435406698564,0.06447357966259469,0.05661025349954829,0.0785713112756853,0.9214271958694004,0.07722000000007723,0.9227790000009229,-0.20454545454545453,-0.2045451491887675,0.056610196889351413
Andaman & Nicobar Islands,Andamans,2025-07,20,239,259,0.0,0.0,0.0,0.0,0.0,0.0,0.0,259.0,0.0,0.0,1.0,0.07722007722007722,0.0,0.0,0.3301435406698564,0.0245884982727088,-0.19138755980861244,-0.05263157894736842,-0.019138755980861233,0.023923444976076555,-0.11961722488038273,0.004784688995215308,7,0.0,-0.1692515620062098,-0.16557796175243136,0.07722000000007723,0.9227790000009229,0.15866377808681076,0.7602516056789936,0.3362906652380336,0.33629032894770466,-0.15215213626689514
Andaman & Nicobar Islands,Andamans,2025-09,76,241,317,3.0,159.0,162.0,23.0,4.0,0.0,27.0,317.0,0.08517350157728706,0.5110410094637224,1.0,0.23974763406940064,0.08517350157728706,0.5110410094637224,0.0,0.1625275568493234,0.3301435406698564,0.0245884982727088,-0.19138755980861244,-0.05263157894736842,-0.019138755980861233,0.023923444976076555,9,-0.42586750788643535,-0.18880298154765038,-0.1468272249920022,0.15866377808681076,0.7602516056789936,0.16731496872044713,0.7637349334946488,0.18968551697258323,0.17430493962367632,-0.13670347347131756
Andaman & Nicobar Islands,Andamans,2025-10,43,139,182,2.0,73.0,75.0,15.0,0.0,0.0,15.0,317.0,0.0473186119873817,0.23659305993690852,0.5741324921135647,0.13564668769716087,-0.03785488958990536,-0.27444794952681395,-0.42586750788643535,-0.10410094637223977,0.0,0.1625275568493234,0.3301435406698564,0.0245884982727088,-0.19138755980861244,-0.05263157894736842,10,0.12618296529968454,0.11068480476486224,0.08593448092601516,0.16731496872044713,0.7637349334946488,0.11059899755787507,0.7837826645986274,-0.5299684542586752,-0.4934270775146251,0.0768582238871657
Andaman & Nicobar Islands,Andamans,2025-11,48,174,222,0.0,212.0,212.0,13.0,0.0,0.0,13.0,317.0,0.04100946372239748,0.668769716088328,0.7003154574132492,0.15141955835962145,-0.006309148264984223,0.43217665615141954,0.12618296529968454,0.01577287066246058,-0.42586750788643535,-0.10410094637223977,0.0,0.1625275568493234,0.3301435406698564,0.0245884982727088,11,0.2996845425867508,0.15936833785194,0.17366010350103234,0.11059899755787507,0.7837826645986274,0.11059899755787507,0.7837826645986274,0.23659305993690852,0.21160449420106525,0.15531841201952357
Andaman and Nicobar Islands,Nicobar,2025-06,61,75,136,0.0,0.0,0.0,0.0,0.0,0.0,0.0,279.0,0.0,0.0,0.4874551971326165,0.21863799283154123,0.0,0.0,0.18637992831541217,0.09677419354838711,-0.6594982078853047,-0.41935483870967744,-0.03942652329749108,-0.09677419354838712,0.0,0.0,6,0.37992831541218636,0.11004506867370226,0.12450344258640048,0.4485284916216974,0.551469456911923,0.3925615308898053,0.6074373162189618,0.21057347670250895,0.21057304471810104,0.12450329904747305
Andaman and Nicobar Islands,Nicobar,2025-07,95,147,242,0.0,0.0,0.0,0.0,0.0,0.0,0.0,279.0,0.0,0.0,0.8673835125448028,0.34050179211469533,0.0,0.0,0.37992831541218636,0.1218637992831541,0.18637992831541217,0.09677419354838711,-0.6594982078853047,-0.41935483870967744,-0.03942652329749108,-0.09677419354838712,7,0.021505376344086002,-0.1854798222650982,-0.16727298104170046,0.3925615308898053,0.6074373162189618,0.23308254378438667,0.624999296875791,0.4103942652329749,0.41039379209302446,-0.14353390746497735
Andaman and Nicobar Islands,Nicobar,2025-09,93,155,248,2.0,149.0,151.0,41.0,6.0,0.0,47.0,279.0,0.16845878136200718,0.5412186379928315,0.8888888888888888,0.3333333333333333,0.16845878136200718,0.5412186379928315,0.021505376344086002,-0.007168458781362019,0.37992831541218636,0.1218637992831541,0.18637992831541217,0.09677419354838711,-0.6594982078853047,-0.41935483870967744,9,-0.519485903814262,-0.264462347568768,-0.2437702173789271,0.23308254378438667,0.624999296875791,0.2278477147899521,0.6363619136869408,0.1971326164874552,0.16915591840971245,-0.210668568994774
Andaman and Nicobar Islands,Nicobar,2025-10,36,63,99,9.0,50.0,59.0,6.0,4.0,0.0,10.0,268.0,0.03731343283582089,0.22014925373134328,0.3694029850746269,0.13432835820895522,-0.13114534852618628,-0.32106938426148823,-0.519485903814262,-0.1990049751243781,0.021505376344086002,-0.007168458781362019,0.37992831541218636,0.1218637992831541,0.18637992831541217,0.09677419354838711,10,0.3967260471834376,0.16539936810173458,0.12155046623329077,0.2278477147899521,0.6363619136869408,0.43999963626696736,0.3052627594465035,-0.6822908307922751,-0.5896423053921828,0.09058699166511162
Andaman and Nicobar Islands,Nicobar,2025-11,132,58,190,5.0,105.0,110.0,12.0,0.0,0.0,12.0,248.0,0.04838709677419355,0.4435483870967742,0.7661290322580645,0.532258064516129,0.011073663938372655,0.2233991333654309,0.3967260471834376,0.3979297063071738,-0.519485903814262,-0.1990049751243781,0.021505376344086002,-0.007168458781362019,0.37992831541218636,0.1218637992831541,11,0.2338709677419355,0.08904689870064993,0.15522245531012668,0.43999963626696736,0.3052627594465035,0.43999963626696736,0.3052627594465035,0.554826673086182,0.41349145558994277,0.11568145891295217
